,party_id,user_id,attendance_status,created_at,ext,invitation_code,invitee_ids,role,updated_at
107,60c7734c-5d27-11ec-b880-3d0ba6598223,90034450-5c6f-11ec-a950-2f7e07c0327c,left,2021-12-14 21:47:05.050,{'can_speak': 'accepted'},2255c957,,host,2021-12-14 21:47:05.050
108,ce70441c-5c8e-11ec-8c95-a1cecaf95a90,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-12-14 03:34:56.027,,7742cade,,host,2021-12-14 03:34:57.840
109,c3c48eec-3e8e-11ec-b162-669934ce5a0c,3a696060-3e8d-11ec-baff-f27d46aee000,left,2021-11-05 23:19:03.241,,4f1c44e1,SortedSet([UUID('086c0164-3e09-11ec-af1c-166bc3c05ee1')]),host,2021-11-05 23:19:07.708
110,c3c48eec-3e8e-11ec-b162-669934ce5a0c,774f3b62-3e97-11ec-a752-999697ce82c9,left,2021-11-06 00:49:18.546,,60c38a2c,,guest,2021-11-08 14:38:38.557
111,3dc4a566-4ef1-11ec-8f75-379fc1431c85,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-26 19:44:17.206,,ee4ff2f8,SortedSet([UUID('2a62ccd0-4be7-11ec-927f-6becf3f7aa96')]),host,2021-11-26 19:44:30.134
112,3dc4a566-4ef1-11ec-8f75-379fc1431c85,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-11-26 19:44:49.634,,05928a34,,guest,2021-11-26 19:45:44.921
113,289566dc-4049-11ec-ad47-a273009342b9,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-11-08 04:05:49.935,,4bf8a98a,,host,2021-11-08 04:05:52.886
114,81ffa32a-5c34-11ec-afe6-aa2d5c64d962,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-12-13 16:48:33.081,,2838df49,,host,2021-12-13 16:49:02.490
115,0b58e250-3e1a-11ec-b5c8-9ecc81379b17,86cf42e0-3e19-11ec-8ca4-e0c4d5ea46e8,left,2021-11-05 09:23:32.213,,d3f92eaf,,host,2021-11-05 09:23:47.651
116,fba65052-4041-11ec-ad47-a273009342b9,eff78ff4-324b-11ec-8a7a-9284af838714,left,2021-11-08 08:39:18.011,,4774ae59,,guest,2021-11-08 08:39:22.044
117,fba65052-4041-11ec-ad47-a273009342b9,07bb7218-3e1d-11ec-807f-e967a48dff68,left,2021-11-08 03:14:28.071,,62a469fa,"SortedSet([UUID('eff78ff4-324b-11ec-8a7a-9284af838714'), UUID('f5e3ff62-404a-11ec-9d8e-ae78fe1d0ad6'), UUID('fcd85ac4-354c-11ec-8a67-a069389d8a76')])",host,2021-11-08 08:25:38.235
118,fba65052-4041-11ec-ad47-a273009342b9,69881ffa-3e22-11ec-a810-ddc3ee85e7df,,2021-11-08 04:19:20.991,,3c0d598f,,guest,
119,cf5a626a-3257-11ec-9922-5adc50ad8e5b,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-21 10:15:26.403,,ad203030,,host,2021-10-21 10:16:44.528
120,5e088818-3e2c-11ec-9f5d-269185fd6da4,320a7c5e-3e21-11ec-8ac5-2ba34ecb720d,left,2021-11-05 11:34:41.879,,21a55724,,host,2021-11-05 11:34:56.203
121,c17e70a4-4eff-11ec-a98e-14b574ec9b31,a2380034-4be4-11ec-8a8a-f97b5077e4e7,left,2021-11-26 21:28:11.163,,5e49ddc7,,host,2021-12-15 19:35:35.882
122,110caca4-5cfb-11ec-b8da-6f98fe412fc6,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-12-14 16:29:53.430,{'can_speak': 'accepted'},bcbf2ae6,,host,2021-12-14 16:29:53.430
123,110caca4-5cfb-11ec-b8da-6f98fe412fc6,18123116-5cf3-11ec-8737-add877cce74f,,2021-12-14 16:31:36.518,,ce92bbea,,guest,2021-12-14 16:31:36.518
124,d4e10a08-4045-11ec-944d-a273009342b9,d1677ee0-323d-11ec-bd52-c72d60dcf1c1,,2021-11-08 08:53:42.456,,e01054c8,,guest,
125,d4e10a08-4045-11ec-944d-a273009342b9,fcd85ac4-354c-11ec-8a67-a069389d8a76,left,2021-11-08 03:42:01.012,,45d677c1,"SortedSet([UUID('0b940da4-3fa4-11ec-ae44-e418f1ed08b7'), UUID('d1677ee0-323d-11ec-bd52-c72d60dcf1c1')])",host,2021-11-08 08:53:01.737
126,097bb6a0-4ca8-11ec-b290-a589d994aabd,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-23 21:55:13.903,,d7393541,SortedSet([UUID('5e64bb62-4be0-11ec-aad5-eccb9bc4f187')]),host,2021-11-23 21:56:22.325
127,097bb6a0-4ca8-11ec-b290-a589d994aabd,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,left,2021-11-23 21:56:29.154,,2d42a9ad,,guest,2021-11-23 22:49:18.518
128,097bb6a0-4ca8-11ec-b290-a589d994aabd,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-11-23 22:03:14.329,,d05e5b24,,guest,2021-11-23 22:49:19.897
129,0288e340-4046-11ec-ba64-0ed1735cda86,fcd85ac4-354c-11ec-8a67-a069389d8a76,left,2021-11-08 03:43:17.609,,a4c8b126,,host,2021-11-08 03:53:24.730
130,a395b778-5d82-11ec-8e3a-003fa61d15d0,86cf42e0-3e19-11ec-8ca4-e0c4d5ea46e8,left,2021-12-15 08:40:21.332,,4c7b8586,,host,2021-12-15 08:40:27.201
131,8a85cf1c-5d5e-11ec-872a-8b4038033cc1,e340d9c6-4364-11ec-a444-e734332dc01d,left,2021-12-15 04:21:57.405,,c26cc035,,host,2021-12-15 04:22:00.214
132,93215d72-411a-11ec-be45-569848461695,a3fcb9c8-3e1f-11ec-a777-75b999be7f89,left,2021-11-09 07:37:47.716,,cb8ce2ca,,guest,2021-11-09 07:44:15.731
133,9ba2805e-3709-11ec-9671-eedd329acacc,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f,left,2021-10-27 10:07:46.523,,164e5ff7,,guest,2021-10-27 10:09:04.447
134,b616aa16-438c-11ec-b990-5cda53ccaabd,69881ffa-3e22-11ec-a810-ddc3ee85e7df,left,2021-11-12 07:46:57.115,,f03976e0,,host,2021-11-12 08:29:05.350
135,8b515468-5d25-11ec-b44c-20213b642ce9,3ba443ea-4348-11ec-b120-40d7b2fee6a6,left,2021-12-14 21:33:57.422,,a022abff,,host,2021-12-14 21:34:00.129
136,db242570-533d-11ec-bcb2-c1ed7cc637c7,0a797542-4055-11ec-b470-35f604c8d212,left,2021-12-03 02:57:32.690,,fef97d9a,,guest,2021-12-03 02:58:14.529
137,db242570-533d-11ec-bcb2-c1ed7cc637c7,4207fabe-4191-11ec-a39e-becb1c27bf8c,left,2021-12-02 07:02:47.641,,b24f5140,,host,2021-12-03 02:57:40.196
138,b87294e2-407a-11ec-aa51-0ed1735cda86,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,left,2021-11-08 10:00:36.642,,22935d79,SortedSet([UUID('3d918522-3313-11ec-8329-feef32fc5b19')]),host,2021-11-08 14:09:25.858
139,c0977a00-4121-11ec-9e7e-86c6b767b2c5,774f3b62-3e97-11ec-a752-999697ce82c9,left,2021-11-09 05:56:16.256,,a73a8c16,,host,2021-11-09 06:00:05.389
140,c0977a00-4121-11ec-9e7e-86c6b767b2c5,30f4fe9e-4122-11ec-acc7-ef8de78e03cc,left,2021-11-09 05:59:26.377,,286dc008,,guest,2021-11-09 12:40:53.969
141,7097e24e-4d90-11ec-862a-503eb6572462,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3,left,2021-11-25 01:38:50.133,,a17e3df5,"SortedSet([UUID('2a62ccd0-4be7-11ec-927f-6becf3f7aa96'), UUID('5e64bb62-4be0-11ec-aad5-eccb9bc4f187')])",host,2021-11-25 01:38:57.962
142,7097e24e-4d90-11ec-862a-503eb6572462,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,left,2021-11-25 01:41:42.423,,a768c73e,,guest,2021-11-25 02:00:44.420
143,7097e24e-4d90-11ec-862a-503eb6572462,2a62ccd0-4be7-11ec-927f-6becf3f7aa96,left,2021-11-25 01:39:00.815,,3eeaabec,,guest,2021-11-25 02:01:40.920
