,conversation_id,id,content,conversation_type,created_at,edited,files,message_type,updated_at,user_id
28,6c41023c-4bee-11ec-8c33-6673bc983d40,14059926942934315,Hey I can’t hear you,party,2021-11-22 23:52:49.519,,,text,2021-11-22 23:52:49.519,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
29,6c41023c-4bee-11ec-8c33-6673bc983d40,14059855371331068,?,party,2021-11-22 23:52:06.859,,,text,2021-11-22 23:52:06.859,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
30,6c41023c-4bee-11ec-8c33-6673bc983d40,14059852988966187,Can y’all hear me,party,2021-11-22 23:52:05.434,,,text,2021-11-22 23:52:05.434,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
31,6c41023c-4bee-11ec-8c33-6673bc983d40,14059384317411743,Hey,party,2021-11-22 23:47:26.086,,,text,2021-11-22 23:47:26.086,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
32,90781116-51bd-11ec-94a6-19c8d65d67cf,15134756635174310,hi,party,2021-11-30 09:50:18.020,,,text,2021-11-30 09:50:18.020,26a04a38-4367-11ec-af61-e464f5f6361c
33,90781116-51bd-11ec-94a6-19c8d65d67cf,15134740159948172,Hello,party,2021-11-30 09:50:08.200,,,text,2021-11-30 09:50:08.200,e340d9c6-4364-11ec-a444-e734332dc01d
34,809fed64-4ef1-11ec-ad11-e924bef0f655,14615330823340324,Can one of y’all make a party and invite me ?,party,2021-11-26 19:50:16.024,,,text,2021-11-26 19:50:16.024,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
35,d3461bfa-56e5-11ec-9725-bea6b4592d55,16083135175328145,Wussup,channel,2021-12-06 22:51:35.596,,,text,2021-12-06 22:51:35.596,73e6789c-41ca-11ec-a8b6-a4c0148ad650
36,d3461bfa-56e5-11ec-9725-bea6b4592d55,16083116821053841,Chatty Cathy,channel,2021-12-06 22:51:24.740,,,text,2021-12-06 22:51:24.740,4207fabe-4191-11ec-a39e-becb1c27bf8c
37,2a408d42-51db-11ec-8731-b7b3795d6762,15383745854989734,sggd,channel,2021-12-02 03:03:47.079,,,text,2021-12-02 03:03:47.079,07bb7218-3e1d-11ec-807f-e967a48dff68
38,2a408d42-51db-11ec-8731-b7b3795d6762,15152774543074726,p,channel,2021-11-30 12:49:17.443,,,text,2021-11-30 12:49:17.443,07bb7218-3e1d-11ec-807f-e967a48dff68
39,2a408d42-51db-11ec-8731-b7b3795d6762,15152768603914565,b,channel,2021-11-30 12:49:13.903,,,text,2021-11-30 12:49:13.903,87cc8630-51ba-11ec-8401-8a1eed32e025
40,2a408d42-51db-11ec-8731-b7b3795d6762,15152760248886694,bhb,channel,2021-11-30 12:49:08.924,,,text,2021-11-30 12:49:08.924,87cc8630-51ba-11ec-8401-8a1eed32e025
41,2a408d42-51db-11ec-8731-b7b3795d6762,15152756507567526,fzxgy,channel,2021-11-30 12:49:06.693,,,text,2021-11-30 12:49:06.693,07bb7218-3e1d-11ec-807f-e967a48dff68
42,2a408d42-51db-11ec-8731-b7b3795d6762,15152749763126668,he,channel,2021-11-30 12:49:02.673,,,text,2021-11-30 12:49:02.673,07bb7218-3e1d-11ec-807f-e967a48dff68
43,2a408d42-51db-11ec-8731-b7b3795d6762,15152740518854981,hi,channel,2021-11-30 12:48:57.162,,,text,2021-11-30 12:48:57.162,87cc8630-51ba-11ec-8401-8a1eed32e025
44,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634825612813820,So it basically marinates the water,party,2021-11-26 23:03:55.827,,,text,2021-11-26 23:03:55.827,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
45,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634792276459812,"You boil the water or heat it up, then you put big pieces of Lettuce in it. You let it sit for like 10 minutes and take the lettuce out and you can drink the water",party,2021-11-26 23:03:35.957,,,text,2021-11-26 23:03:35.957,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
46,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634595899172139,So you just put lettuce in water,party,2021-11-26 23:01:38.902,,,text,2021-11-26 23:01:38.902,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
47,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634212992745764,It works though it just tastes bad,party,2021-11-26 22:57:50.671,,,text,2021-11-26 22:57:50.671,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
48,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634139978327339,Yeah I seen it from tiktok,party,2021-11-26 22:57:07.158,,,text,2021-11-26 22:57:07.158,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
49,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14634092079350175,Oh ok I didn’t know about that,party,2021-11-26 22:56:38.602,,,text,2021-11-26 22:56:38.602,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
50,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14633823023137060,I did it a couple of times and it worked,party,2021-11-26 22:53:58.236,,,text,2021-11-26 22:53:58.236,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
51,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14633724758983071,It basically knocks you out for people who can’t sleep,party,2021-11-26 22:52:59.664,,,text,2021-11-26 22:52:59.664,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
52,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14633610556473636,Yes,party,2021-11-26 22:51:51.593,,,text,2021-11-26 22:51:51.593,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
53,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14633602234974500,The lettuce water?,party,2021-11-26 22:51:46.635,,,text,2021-11-26 22:51:46.635,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
54,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14633580491728171,Wait what is that,party,2021-11-26 22:51:33.673,,,text,2021-11-26 22:51:33.673,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
55,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632515742491947,I need to be on a schedule lol I’m probably gonna start drinking lettuce water before bed,party,2021-11-26 22:40:59.032,,,text,2021-11-26 22:40:59.032,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
56,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632452861486588,Goals,party,2021-11-26 22:40:21.553,,,text,2021-11-26 22:40:21.553,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
57,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632450227437860,Lol,party,2021-11-26 22:40:19.980,,,text,2021-11-26 22:40:19.980,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
58,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632436570784159,I literally woke up at 12 lol,party,2021-11-26 22:40:11.840,,,text,2021-11-26 22:40:11.840,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
59,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632406237603324,Wow,party,2021-11-26 22:39:53.762,,,text,2021-11-26 22:39:53.762,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
60,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632383319926059,I been up since 4,party,2021-11-26 22:39:40.106,,,text,2021-11-26 22:39:40.106,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
61,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632371928170788,"I’m
Mad tired",party,2021-11-26 22:39:33.318,,,text,2021-11-26 22:39:33.318,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
62,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632363808024060,Nm ab to shower,party,2021-11-26 22:39:28.474,,,text,2021-11-26 22:39:28.474,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
63,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632337266442532,Otw home wyd,party,2021-11-26 22:39:12.654,,,text,2021-11-26 22:39:12.654,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
64,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632322687041828,Wyd,party,2021-11-26 22:39:03.961,,,text,2021-11-26 22:39:03.961,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
65,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632310355813675,Oh ok lol,party,2021-11-26 22:38:56.610,,,text,2021-11-26 22:38:56.610,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
66,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632299182162335,Ok I’m at my dads hot spot so it’s being slow,party,2021-11-26 22:38:49.951,,,text,2021-11-26 22:38:49.951,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
67,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632272321839519,And no,party,2021-11-26 22:38:33.943,,,text,2021-11-26 22:38:33.943,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
68,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632267070596395,Hey,party,2021-11-26 22:38:30.810,,,text,2021-11-26 22:38:30.810,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
69,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14632260963689980,Hey can you hear me?,party,2021-11-26 22:38:27.176,,,text,2021-11-26 22:38:27.176,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
70,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14631038894473508,Hey I gotta go to the store with my mom but I’ll get back on when I get back,party,2021-11-26 22:26:18.766,,,text,2021-11-26 22:26:18.766,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
71,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14628571234461180,Ok,party,2021-11-26 22:01:47.920,,,text,2021-11-26 22:01:47.920,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
72,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14628067582436860,We don’t have much Time left,party,2021-11-26 21:56:47.729,,,text,2021-11-26 21:56:47.729,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
73,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14628047617549611,Ok,party,2021-11-26 21:56:35.825,,,text,2021-11-26 21:56:35.825,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
74,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14628007033438623,Well we can just be on here till 6:30,party,2021-11-26 21:56:11.636,,,text,2021-11-26 21:56:11.636,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
75,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627992739276075,Oh ok,party,2021-11-26 21:56:03.114,,,text,2021-11-26 21:56:03.114,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
76,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627985994835452,But I think it’s the wifi,party,2021-11-26 21:55:59.097,,,text,2021-11-26 21:55:59.097,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
77,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627972220715300,Ok my mic muted it self,party,2021-11-26 21:55:50.881,,,text,2021-11-26 21:55:50.881,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
78,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627940394336671,No,party,2021-11-26 21:55:31.911,,,text,2021-11-26 21:55:31.911,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
79,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627860266378748,Ok can you hear me now,party,2021-11-26 21:54:44.155,,,text,2021-11-26 21:54:44.155,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
80,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14627712190670123,We can talk on the chat if we need to say anything because ur going in and out,party,2021-11-26 21:53:15.895,,,text,2021-11-26 21:53:15.895,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
81,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14626069432788267,Byeee,party,2021-11-26 21:36:56.737,,,text,2021-11-26 21:36:56.737,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
82,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14624475144257951,Moon 🌚,party,2021-11-26 21:21:06.463,,,text,2021-11-26 21:21:06.463,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
83,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14624187834433828,TERMINASTE,party,2021-11-26 21:18:15.216,,,text,2021-11-26 21:18:15.216,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
84,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14624166477037983,Eres tonto,party,2021-11-26 21:18:02.484,,,text,2021-11-26 21:18:02.484,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
85,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14624061468468523,Hola jayden,party,2021-11-26 21:16:59.892,,,text,2021-11-26 21:16:59.892,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
86,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14623993369723295,Hey 👹,party,2021-11-26 21:16:19.302,,,text,2021-11-26 21:16:19.302,5e64bb62-4be0-11ec-aad5-eccb9bc4f187
87,3a5ef404-4efa-11ec-8a0e-5d8fd8c32e5f,14623966073218556,Hello,party,2021-11-26 21:16:03.037,,,text,2021-11-26 21:16:03.037,2a62ccd0-4be7-11ec-927f-6becf3f7aa96
88,7ed3dbca-4119-11ec-841d-64d84ad054af,12061317296816478,Hello,party,2021-11-09 04:58:25.420,,,text,2021-11-09 04:58:25.420,f5e3ff62-404a-11ec-9d8e-ae78fe1d0ad6
89,7ed3dbca-4119-11ec-841d-64d84ad054af,12061274967926156,Hello,party,2021-11-09 04:58:00.190,,,text,2021-11-09 04:58:00.190,f5e3ff62-404a-11ec-9d8e-ae78fe1d0ad6
90,93215d72-411a-11ec-be45-569848461695,12077288401142224,Bùn =)))))),party,2021-11-09 07:37:04.940,,,text,2021-11-09 07:37:04.940,320a7c5e-3e21-11ec-8ac5-2ba34ecb720d
91,93215d72-411a-11ec-be45-569848461695,12077281472177548,Chưa được thay ava,party,2021-11-09 07:37:00.810,,,text,2021-11-09 07:37:00.810,320a7c5e-3e21-11ec-8ac5-2ba34ecb720d
92,93215d72-411a-11ec-be45-569848461695,12077262245487997,Hello,party,2021-11-09 07:36:49.264,,,text,2021-11-09 07:36:49.264,320a7c5e-3e21-11ec-8ac5-2ba34ecb720d
93,93215d72-411a-11ec-be45-569848461695,12077116753470845,Hiiii,party,2021-11-09 07:35:22.541,,,text,2021-11-09 07:35:22.541,f5e3ff62-404a-11ec-9d8e-ae78fe1d0ad6
94,93215d72-411a-11ec-be45-569848461695,12077108817847677,Hello,party,2021-11-09 07:35:17.900,,,text,2021-11-09 07:35:17.900,f5e3ff62-404a-11ec-9d8e-ae78fe1d0ad6
95,7097e24e-4d90-11ec-862a-503eb6572462,14360880955261220,Podcast,party,2021-11-25 01:42:32.086,,,text,2021-11-25 01:42:32.086,ee248f30-4bd5-11ec-9b73-dd21c2b4b8f3
96,305ed78e-3312-11ec-bed2-9a010fca4d91,9476348246491502,hiii,party,2021-10-22 08:59:03.712,,,text,2021-10-22 08:59:03.712,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
97,305ed78e-3312-11ec-bed2-9a010fca4d91,9476114623758702,hello,party,2021-10-22 08:56:44.469,,,text,2021-10-22 08:56:44.469,98c86e0a-324c-11ec-a204-9da21b625b1f
98,305ed78e-3312-11ec-bed2-9a010fca4d91,9476104339325294,🚮🚮🚮🚮,party,2021-10-22 08:56:38.339,,,text,2021-10-22 08:56:38.339,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
99,305ed78e-3312-11ec-bed2-9a010fca4d91,9476088484881687,abckek,party,2021-10-22 08:56:28.880,,,text,2021-10-22 08:56:28.880,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
100,305ed78e-3312-11ec-bed2-9a010fca4d91,9476084357686551,hé,party,2021-10-22 08:56:26.428,,,text,2021-10-22 08:56:26.428,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
101,305ed78e-3312-11ec-bed2-9a010fca4d91,9476083300696430,vv hchcufufufu,party,2021-10-22 08:56:25.794,,,text,2021-10-22 08:56:25.794,3d918522-3313-11ec-8329-feef32fc5b19
102,305ed78e-3312-11ec-bed2-9a010fca4d91,9476078737293678,b v yclfyffufu,party,2021-10-22 08:56:23.074,,,text,2021-10-22 08:56:23.074,3d918522-3313-11ec-8329-feef32fc5b19
