,id,account_id,device_uid,expires_at,user_id
0,5cac0722-331b-11ec-9922-5adc50ad8e5b,12b5eb10-331b-11ec-bed2-9a010fca4d91,5bd1fda9e6078acd,2040-10-26 20:15:15.354,30ecc4be-331b-11ec-8b7c-4f667ee55425
1,c7671214-5706-11ec-9550-067fc7bb5bd6,02e1d290-3fa4-11ec-ad47-a273009342b9,05ade96298bd404f,2040-12-11 13:18:36.847,0b940da4-3fa4-11ec-ae44-e418f1ed08b7
2,5c0d4952-407c-11ec-ad47-a273009342b9,e5d1182c-323e-11ec-9992-5adc50ad8e5b,f5518b5d5a965c7b,2040-11-12 20:52:20.613,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
3,c1dc3922-3321-11ec-bed2-9a010fca4d91,c1d93510-3321-11ec-bed2-9a010fca4d91,5c91d5f7f73f4172,2040-10-26 21:01:02.100,
4,6cdb1aaa-51db-11ec-b909-86e2d68480b1,b496f4a4-3e1c-11ec-a5b2-9ecc81379b17,c7dddaf2e30c33c3,2040-12-04 23:25:40.761,07bb7218-3e1d-11ec-807f-e967a48dff68
5,66444430-4c3d-11ec-acc9-9a58024cb2de,1b0f6a64-3313-11ec-b92a-9a010fca4d91,c7dddaf2e30c33c3,2040-11-27 19:51:53.410,3d918522-3313-11ec-8329-feef32fc5b19
6,cdc30dc2-4bd3-11ec-ba2f-c2804d2a32b1,aa734a86-4bd2-11ec-9500-c687132219c8,739FDFBD-626A-4B30-A774-2658C8853299,2040-11-27 07:16:00.393,26b303f2-4bd3-11ec-87c1-e517be6df39b
7,e893385e-5306-11ec-bba4-42a91f77d458,0539b938-4191-11ec-ba2f-c2804d2a32b1,9C3FF255-AB1B-4D65-AB9E-57F894681254,2040-12-06 11:09:27.850,4207fabe-4191-11ec-a39e-becb1c27bf8c
8,2f983cd2-353d-11ec-9671-eedd329acacc,2f95ee14-353d-11ec-9671-eedd329acacc,e6093e17b0be01ef,2040-10-29 13:22:24.941,3ae3a6e8-353e-11ec-9fa1-8523b02e4912
9,9788be8e-41cc-11ec-89a8-d22bdb8453e3,e5d1182c-323e-11ec-9992-5adc50ad8e5b,B3A71AB3-62D0-4EB6-BFBA-323404FF7583,2040-11-14 12:59:11.309,4b96e0f6-323f-11ec-b1ea-94bbbdaee87f
10,5a28754a-407b-11ec-b162-669934ce5a0c,e5d2b6ce-407a-11ec-ba64-0ed1735cda86,C1E9B90C-B4EE-46C5-9D39-16D64007F35F,2040-11-12 20:45:07.939,02067cf4-407b-11ec-97e9-a72123dd15f3
11,04f2d6a4-4636-11ec-9a8e-d22bdb8453e3,1389ebf2-4367-11ec-89a8-d22bdb8453e3,E125CC18-9A54-4534-841D-6A7D166C175B,2040-11-20 03:43:56.683,26a04a38-4367-11ec-af61-e464f5f6361c
12,ee905f82-3bc0-11ec-b32b-7ad4ba4e9e08,e7d74f04-3286-11ec-9992-5adc50ad8e5b,,2040-11-06 20:20:36.383,2350f594-3287-11ec-9bc4-d0dbea1a278a
13,8859e05a-51cb-11ec-bba4-42a91f77d458,66929f54-51ba-11ec-804e-9aa5b3327e81,78BB9A6C-3F12-417D-96C1-C1E15C902A58,2040-12-04 21:31:54.943,87cc8630-51ba-11ec-8401-8a1eed32e025
14,be9d02f2-3284-11ec-9992-5adc50ad8e5b,aebf6e4c-3284-11ec-9992-5adc50ad8e5b,f5518b5d5a965c7b,2040-10-26 02:17:05.666,bc184e68-3286-11ec-8b7b-83da43ba4362
15,06e0ad92-4a69-11ec-89a8-d22bdb8453e3,06de8396-4a69-11ec-89a8-d22bdb8453e3,58898726-5902-4C5B-8891-85F48D69F1C4,2040-11-25 11:59:08.904,70c44a02-4a69-11ec-8a7d-52083742658f
16,26a3df2a-4111-11ec-9d13-ce86246e7cee,df24a4a8-3239-11ec-bed2-9a010fca4d91,71C3DB51-B99B-4868-8268-F0B4769C06F8,2040-11-13 14:37:26.016,ac47e572-3f9f-11ec-8706-336d1ac4848e
17,053cf68e-4191-11ec-ba2f-c2804d2a32b1,0539b938-4191-11ec-ba2f-c2804d2a32b1,010BB731-26D6-4C1E-9092-E2DB20D2396E,2040-11-14 05:52:45.558,4207fabe-4191-11ec-a39e-becb1c27bf8c
