,block_id,user_id,created_at,role,status,updated_at
0,60b083c0-528d-11ec-a9bd-be7e7a8d3eac,5e64bb62-4be0-11ec-aad5-eccb9bc4f187,2021-12-01 09:59:31.012,host,accepted,
1,62b7b4c2-528d-11ec-b593-8418c6c68351,c9d7fd14-4d7f-11ec-bde9-aacd36976ad4,2021-12-01 09:59:34.413,host,accepted,
2,c0c11524-51b4-11ec-aae1-5aaf90033b69,086c0164-3e09-11ec-af1c-166bc3c05ee1,2021-11-30 08:08:51.169,host,accepted,
3,907828c2-51bd-11ec-85d6-d1be5d0994ca,e340d9c6-4364-11ec-a444-e734332dc01d,2021-11-30 09:50:24.105,guest,,
4,883b6a5a-51ba-11ec-848d-795ca23cc858,87cc8630-51ba-11ec-8401-8a1eed32e025,2021-11-30 08:50:13.305,host,accepted,
5,6509a1b8-528d-11ec-87b5-a2668cd1f91a,0acdc93c-3289-11ec-8288-37b3a133648b,2021-12-01 09:59:38.303,host,accepted,
6,5c097ac0-528d-11ec-a2a8-ca4242a51646,bc184e68-3286-11ec-8b7b-83da43ba4362,2021-12-01 09:59:23.207,host,accepted,
7,5f63c9c8-528d-11ec-9d06-7d6824b62304,e0a78ae2-4e5a-11ec-8ec2-a2ea2ca4bbe7,2021-12-01 09:59:28.831,host,accepted,
8,d3461bfa-56e5-11ec-9725-bea6b4592d55,4207fabe-4191-11ec-a39e-becb1c27bf8c,2021-12-06 23:06:34.637,guest,,
9,d3461bfa-56e5-11ec-9725-bea6b4592d55,73e6789c-41ca-11ec-a8b6-a4c0148ad650,2021-12-06 22:49:59.841,host,accepted,
10,5abb68c2-528d-11ec-8dbb-af9135ecdca4,774f3b62-3e97-11ec-a752-999697ce82c9,2021-12-01 09:59:21.019,host,accepted,
11,6a5af1b8-5714-11ec-b412-48c7fb3d4a95,69ded394-5714-11ec-9c4f-88116078fe89,2021-12-07 04:16:13.702,host,accepted,
12,2a408d42-51db-11ec-8731-b7b3795d6762,07bb7218-3e1d-11ec-807f-e967a48dff68,2021-11-30 12:48:39.129,host,accepted,
13,2a408d42-51db-11ec-8731-b7b3795d6762,87cc8630-51ba-11ec-8401-8a1eed32e025,2021-11-30 12:48:42.944,guest,,
14,57d29aa4-528d-11ec-934c-336f602071c0,0b940da4-3fa4-11ec-ae44-e418f1ed08b7,2021-12-01 09:59:16.138,host,accepted,
15,56f22f32-528d-11ec-a4a5-1ffaf67e0862,caf68e22-3317-11ec-b992-c183bb5a0aba,2021-12-01 09:59:14.668,host,accepted,
16,5b9ad034-528d-11ec-91f1-9fa6938adbf6,30ecc4be-331b-11ec-8b7c-4f667ee55425,2021-12-01 09:59:22.478,host,accepted,
17,5fd266f8-528d-11ec-91e2-1eba7f1659e5,745f49f8-3288-11ec-b6d7-04912a3f45ac,2021-12-01 09:59:29.557,host,accepted,
18,59211322-528d-11ec-9720-af327b3c209f,dbc30076-484f-11ec-b060-b50460965605,2021-12-01 09:59:18.330,host,accepted,
19,50d67db0-528d-11ec-af83-2c2426fd1f6c,02067cf4-407b-11ec-97e9-a72123dd15f3,2021-12-01 09:59:04.418,host,accepted,
20,5e138e50-528d-11ec-b2b3-b72339d087da,73e6789c-41ca-11ec-a8b6-a4c0148ad650,2021-12-01 09:59:26.629,host,accepted,
21,61d95fc4-528d-11ec-8fd6-a3c3e9c60000,1f72bb52-4627-11ec-9b1b-66de6f72b2fe,2021-12-01 09:59:32.957,host,accepted,
22,42986574-58b9-11ec-8c11-affed2654525,423451ba-58b9-11ec-acc0-4820484bcd89,2021-12-09 06:28:45.120,host,accepted,
23,bd05abbc-55e6-11ec-b1b2-4cd4450b20c0,bc8c628e-55e6-11ec-bc05-1e9e9f29ac54,2021-12-05 16:16:44.382,host,accepted,
24,52df99e8-528d-11ec-abc9-2cd57eb946e7,6de0cc28-407f-11ec-983a-242accf03efa,2021-12-01 09:59:07.834,host,accepted,
